"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 26 08:41:37 GMT 2025","Tue Aug 26 08:41:38 GMT 2025","1389","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 26 08:41:32 GMT 2025","Tue Aug 26 08:41:36 GMT 2025","3573","LMS system","Courses","Courses","","","Edit courses",""
"passed","Tue Aug 26 08:41:19 GMT 2025","Tue Aug 26 08:41:21 GMT 2025","2224","LMS system","Courses","Courses","","","Create courses",""
"passed","Tue Aug 26 08:41:02 GMT 2025","Tue Aug 26 08:41:03 GMT 2025","1141","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 26 08:41:23 GMT 2025","Tue Aug 26 08:41:25 GMT 2025","2675","LMS system","Courses","Courses","","","Create courses",""
"passed","Tue Aug 26 08:40:56 GMT 2025","Tue Aug 26 08:40:58 GMT 2025","1601","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:41:12 GMT 2025","Tue Aug 26 08:41:14 GMT 2025","1353","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 26 08:40:44 GMT 2025","Tue Aug 26 08:40:47 GMT 2025","2611","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 26 08:41:26 GMT 2025","Tue Aug 26 08:41:30 GMT 2025","3317","LMS system","Courses","Courses","","","Edit courses",""
"passed","Tue Aug 26 08:40:48 GMT 2025","Tue Aug 26 08:40:49 GMT 2025","1172","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:40:41 GMT 2025","Tue Aug 26 08:40:43 GMT 2025","2107","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 26 08:40:59 GMT 2025","Tue Aug 26 08:41:01 GMT 2025","1590","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:41:06 GMT 2025","Tue Aug 26 08:41:07 GMT 2025","1366","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Tue Aug 26 08:41:04 GMT 2025","Tue Aug 26 08:41:05 GMT 2025","1634","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 26 08:40:53 GMT 2025","Tue Aug 26 08:40:54 GMT 2025","1642","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:41:09 GMT 2025","Tue Aug 26 08:41:11 GMT 2025","1912","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Tue Aug 26 08:40:50 GMT 2025","Tue Aug 26 08:40:52 GMT 2025","1228","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:41:16 GMT 2025","Tue Aug 26 08:41:18 GMT 2025","1501","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 26 08:40:49 GMT 2025","Tue Aug 26 08:40:50 GMT 2025","1184","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:41:40 GMT 2025","Tue Aug 26 08:41:42 GMT 2025","1760","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
