"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 26 07:11:30 GMT 2025","Tue Aug 26 07:11:30 GMT 2025","0","LMS system","Courses","Courses","","","Create courses",""
"broken","Tue Aug 26 07:11:29 GMT 2025","Tue Aug 26 07:11:29 GMT 2025","0","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"broken","Tue Aug 26 07:11:15 GMT 2025","Tue Aug 26 07:11:16 GMT 2025","1597","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"broken","Tue Aug 26 07:11:30 GMT 2025","Tue Aug 26 07:11:30 GMT 2025","0","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Tue Aug 26 07:11:12 GMT 2025","Tue Aug 26 07:11:13 GMT 2025","1440","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"broken","Tue Aug 26 07:11:30 GMT 2025","Tue Aug 26 07:11:30 GMT 2025","0","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"broken","Tue Aug 26 07:11:18 GMT 2025","Tue Aug 26 07:11:19 GMT 2025","1404","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"broken","Tue Aug 26 07:11:24 GMT 2025","Tue Aug 26 07:11:25 GMT 2025","1038","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"broken","Tue Aug 26 07:11:05 GMT 2025","Tue Aug 26 07:11:06 GMT 2025","1322","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"broken","Tue Aug 26 07:11:07 GMT 2025","Tue Aug 26 07:11:08 GMT 2025","1143","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"broken","Tue Aug 26 07:11:30 GMT 2025","Tue Aug 26 07:11:30 GMT 2025","0","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Tue Aug 26 07:11:09 GMT 2025","Tue Aug 26 07:11:10 GMT 2025","1034","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"broken","Tue Aug 26 07:11:02 GMT 2025","Tue Aug 26 07:11:04 GMT 2025","1538","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"broken","Tue Aug 26 07:11:08 GMT 2025","Tue Aug 26 07:11:09 GMT 2025","1058","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"broken","Tue Aug 26 07:11:30 GMT 2025","Tue Aug 26 07:11:30 GMT 2025","0","LMS system","Courses","Courses","","","Create courses",""
"broken","Tue Aug 26 07:11:30 GMT 2025","Tue Aug 26 07:11:30 GMT 2025","0","LMS system","Courses","Courses","","","Edit courses",""
"broken","Tue Aug 26 07:11:30 GMT 2025","Tue Aug 26 07:11:30 GMT 2025","0","LMS system","Courses","Courses","","","Edit courses",""
"broken","Tue Aug 26 07:11:22 GMT 2025","Tue Aug 26 07:11:24 GMT 2025","1520","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
"broken","Tue Aug 26 07:11:27 GMT 2025","Tue Aug 26 07:11:28 GMT 2025","1463","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"broken","Tue Aug 26 07:11:20 GMT 2025","Tue Aug 26 07:11:21 GMT 2025","1051","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
