"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 26 08:50:25 GMT 2025","Tue Aug 26 08:50:26 GMT 2025","1378","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Tue Aug 26 08:50:59 GMT 2025","Tue Aug 26 08:51:01 GMT 2025","1695","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 26 08:50:28 GMT 2025","Tue Aug 26 08:50:29 GMT 2025","1946","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Tue Aug 26 08:50:20 GMT 2025","Tue Aug 26 08:50:21 GMT 2025","1126","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 26 08:50:09 GMT 2025","Tue Aug 26 08:50:10 GMT 2025","1488","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:50:06 GMT 2025","Tue Aug 26 08:50:07 GMT 2025","1163","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:50:08 GMT 2025","Tue Aug 26 08:50:09 GMT 2025","1165","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:50:42 GMT 2025","Tue Aug 26 08:50:45 GMT 2025","2679","LMS system","Courses","Courses","","","Create courses",""
"passed","Tue Aug 26 08:50:52 GMT 2025","Tue Aug 26 08:50:55 GMT 2025","3535","LMS system","Courses","Courses","","","Edit courses",""
"passed","Tue Aug 26 08:50:15 GMT 2025","Tue Aug 26 08:50:16 GMT 2025","1582","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:50:36 GMT 2025","Tue Aug 26 08:50:38 GMT 2025","1530","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 26 08:49:59 GMT 2025","Tue Aug 26 08:50:01 GMT 2025","2887","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 26 08:50:33 GMT 2025","Tue Aug 26 08:50:35 GMT 2025","1226","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 26 08:50:03 GMT 2025","Tue Aug 26 08:50:06 GMT 2025","2627","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 26 08:50:18 GMT 2025","Tue Aug 26 08:50:20 GMT 2025","1649","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:50:46 GMT 2025","Tue Aug 26 08:50:49 GMT 2025","3209","LMS system","Courses","Courses","","","Edit courses",""
"passed","Tue Aug 26 08:50:56 GMT 2025","Tue Aug 26 08:50:58 GMT 2025","1363","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 26 08:50:38 GMT 2025","Tue Aug 26 08:50:41 GMT 2025","2259","LMS system","Courses","Courses","","","Create courses",""
"passed","Tue Aug 26 08:50:11 GMT 2025","Tue Aug 26 08:50:13 GMT 2025","1637","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:50:23 GMT 2025","Tue Aug 26 08:50:24 GMT 2025","1592","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
