"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 25 07:26:07 GMT 2025","Mon Aug 25 07:26:09 GMT 2025","2957","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Mon Aug 25 07:26:11 GMT 2025","Mon Aug 25 07:26:14 GMT 2025","2790","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Mon Aug 25 07:26:36 GMT 2025","Mon Aug 25 07:26:37 GMT 2025","1934","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Mon Aug 25 07:27:00 GMT 2025","Mon Aug 25 07:27:04 GMT 2025","3647","LMS system","Courses","Courses","","","Edit courses",""
"passed","Mon Aug 25 07:26:40 GMT 2025","Mon Aug 25 07:26:41 GMT 2025","1227","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Aug 25 07:26:17 GMT 2025","Mon Aug 25 07:26:18 GMT 2025","1180","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 25 07:26:14 GMT 2025","Mon Aug 25 07:26:16 GMT 2025","1173","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 25 07:26:46 GMT 2025","Mon Aug 25 07:26:48 GMT 2025","2373","LMS system","Courses","Courses","","","Create courses",""
"passed","Mon Aug 25 07:26:54 GMT 2025","Mon Aug 25 07:26:58 GMT 2025","3389","LMS system","Courses","Courses","","","Edit courses",""
"passed","Mon Aug 25 07:26:33 GMT 2025","Mon Aug 25 07:26:34 GMT 2025","1382","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Mon Aug 25 07:26:16 GMT 2025","Mon Aug 25 07:26:17 GMT 2025","1213","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 25 07:26:44 GMT 2025","Mon Aug 25 07:26:45 GMT 2025","1591","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Aug 25 07:26:50 GMT 2025","Mon Aug 25 07:26:53 GMT 2025","2821","LMS system","Courses","Courses","","","Create courses",""
"passed","Mon Aug 25 07:26:19 GMT 2025","Mon Aug 25 07:26:21 GMT 2025","1667","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 25 07:26:28 GMT 2025","Mon Aug 25 07:26:30 GMT 2025","1109","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Aug 25 07:26:31 GMT 2025","Mon Aug 25 07:26:32 GMT 2025","1613","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Aug 25 07:27:05 GMT 2025","Mon Aug 25 07:27:07 GMT 2025","1432","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Aug 25 07:26:26 GMT 2025","Mon Aug 25 07:26:28 GMT 2025","1724","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 25 07:27:08 GMT 2025","Mon Aug 25 07:27:10 GMT 2025","1845","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Aug 25 07:26:23 GMT 2025","Mon Aug 25 07:26:24 GMT 2025","1629","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
