"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 26 08:56:49 GMT 2025","Tue Aug 26 08:56:50 GMT 2025","1261","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:56:48 GMT 2025","Tue Aug 26 08:56:49 GMT 2025","1169","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:56:52 GMT 2025","Tue Aug 26 08:56:53 GMT 2025","1560","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:56:58 GMT 2025","Tue Aug 26 08:56:59 GMT 2025","1554","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:57:17 GMT 2025","Tue Aug 26 08:57:19 GMT 2025","2189","LMS system","Courses","Courses","","","Create courses",""
"passed","Tue Aug 26 08:57:05 GMT 2025","Tue Aug 26 08:57:06 GMT 2025","1321","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Tue Aug 26 08:56:55 GMT 2025","Tue Aug 26 08:56:56 GMT 2025","1583","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:57:38 GMT 2025","Tue Aug 26 08:57:40 GMT 2025","1701","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 26 08:56:46 GMT 2025","Tue Aug 26 08:56:48 GMT 2025","1163","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:57:14 GMT 2025","Tue Aug 26 08:57:16 GMT 2025","2732","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 26 08:57:25 GMT 2025","Tue Aug 26 08:57:28 GMT 2025","3321","LMS system","Courses","Courses","","","Edit courses",""
"passed","Tue Aug 26 08:56:39 GMT 2025","Tue Aug 26 08:56:42 GMT 2025","2189","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 26 08:57:35 GMT 2025","Tue Aug 26 08:57:37 GMT 2025","1458","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 26 08:57:03 GMT 2025","Tue Aug 26 08:57:04 GMT 2025","1514","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 26 08:57:30 GMT 2025","Tue Aug 26 08:57:34 GMT 2025","3526","LMS system","Courses","Courses","","","Edit courses",""
"passed","Tue Aug 26 08:57:21 GMT 2025","Tue Aug 26 08:57:24 GMT 2025","2633","LMS system","Courses","Courses","","","Create courses",""
"passed","Tue Aug 26 08:57:07 GMT 2025","Tue Aug 26 08:57:09 GMT 2025","1812","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Tue Aug 26 08:56:43 GMT 2025","Tue Aug 26 08:56:46 GMT 2025","2642","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 26 08:57:11 GMT 2025","Tue Aug 26 08:57:12 GMT 2025","1224","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 26 08:57:00 GMT 2025","Tue Aug 26 08:57:01 GMT 2025","1286","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
